Date,IR64_I,IR64_II,IR64_III
2018-01-01,11800,11100,7800
2018-01-02,11850,11300,8400
2018-01-03,11950,11350,8400
2018-01-04,11975,11400,8400
2018-01-05,12050,11450,8800
2018-01-06,12050,11450,8800
2018-01-07,12050,11450,8800
2018-01-08,12300,11675,8800
2018-01-09,12350,11750,8900
2018-01-10,12450,11800,8900
2018-01-11,12475,11800,8900
2018-01-12,12475,11825,8900
2018-01-13,12475,11825,8900
2018-01-14,12475,11825,8900
2018-01-15,12475,11875,8900
2018-01-16,12575,11950,8900
2018-01-17,12600,11975,8900
2018-01-18,12650,11975,8900
2018-01-19,12650,11975,8900
2018-01-20,12650,11975,8900
2018-01-21,12650,11975,8900
2018-01-22,12650,12000,8900
2018-01-23,12650,12050,8900
2018-01-24,12650,12050,8900
2018-01-25,12650,12075,8900
2018-01-26,12650,12075,8900
2018-01-27,12475,11775,8650
2018-01-28,12475,11775,8650
2018-01-29,12225,11575,8525
2018-01-30,12225,11575,8525
2018-01-31,12200,11500,8525
2018-02-01,12200,11500,8525
2018-02-02,12100,11500,8500
2018-02-03,12050,11450,8500
2018-02-04,12050,11450,8500
2018-02-05,12050,11325,8500
2018-02-06,12100,11525,8500
2018-02-07,12275,11650,8500
2018-02-08,12325,11725,8500
2018-02-09,12325,11775,8500
2018-02-10,12325,11775,8500
2018-02-11,12325,11775,8500
2018-02-12,12200,11675,8500
2018-02-13,12200,11675,8500
2018-02-14,12200,11600,8500
2018-02-15,12125,11600,8500
2018-02-16,12125,11600,8500
2018-02-17,12125,11600,8500
2018-02-18,12125,11600,8500
2018-02-19,11875,11150,8500
2018-02-20,11850,11100,8500
2018-02-21,11850,11025,8500
2018-02-22,11725,10800,8500
2018-02-23,11675,10725,8500
2018-02-24,11675,10725,8500
2018-02-25,11675,10725,8500
2018-02-26,11550,10450,8500
2018-02-27,11525,10450,8500
2018-02-28,11525,10400,8500
2018-03-01,11475,10625,8500
2018-03-02,11525,10525,8500
2018-03-03,11525,10525,8500
2018-03-04,11525,10525,8500
